id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-API-001,API Completeness,Implement organization create and read API,livecore-platform,"A new tenant can be created and read over HTTP; operations are OIDC-authorized and tenant-scoped; product-neutral.","API integration tests plus negative foreign-tenant and unauthorized-role tests","TIER 1 CRITICAL. api_routes.csv rows GET/POST /api/v1/organizations exist but no endpoint is mapped (Organizations module has repos/resolver only). Add OrganizationEndpoints under a RequireAuthorization group following the WorkspaceEndpoints.cs pattern. Reuse Organization aggregate + OrganizationRepository + the OIDC principal/tenant resolvers. Creating an org makes the caller its Owner via OrganizationMember. Fail-closed; hidden-404 for foreign tenants. No new tables."
CORE-API-002,API Completeness,Implement current-principal endpoint GET api/v1/me,livecore-platform,"An authenticated caller can read their principal context (user profile + org memberships + roles); anonymous callers get 401.","Integration tests for authenticated read and 401 for anonymous","TIER 1 CRITICAL. api_routes.csv row GET /api/v1/me not implemented (only UserProfileReferenceService exists). Project the mapped principal (OidcPrincipalMapper) + memberships into a safe DTO. No secrets/tokens in the response (T7). Reuse TenantContextResolver/membership lookups; do not expose other tenants."
CORE-API-003,API Completeness,Implement session create and list API,livecore-platform,"A host can create a session in a workspace and list a workspace's sessions over HTTP; start/end then operate on a real created session; session.active.max quota enforced on create.","Lifecycle + authorization negative tests; quota-exceeded test","TIER 1 CRITICAL. SessionEndpoints.cs maps only /{sessionId}/start and /end - there is NO create or list route, so sessions are unreachable via API. Add POST and GET /api/v1/workspaces/{workspaceId}/sessions. Resolve workspace via workspace-scoped lookup first, authorize host roles, enforce session.active.max via the existing quota services, then create the Session aggregate. Emit nothing here unless CORE-EVT-001 has landed (events are a separate story). Fail-closed; hidden-404."
CORE-API-004,API Completeness,Make VisibilityPreviewService participant-aware,livecore-platform,"GetVisibleResources takes a participantId and returns exactly the resources that participant may see including selected-participant private reveals; audience-wide and private reveals both handled; fail-closed.","Unit tests: audience-wide visible, private reveal visible only to the selected participant, hidden invisible, foreign-tenant empty","TIER 1 CRITICAL (shared primitive for the feed + search retrofits). apps/api/Visibility/VisibilityPreviewService.cs is currently audience-wide only and has zero callers (dead code). Retrofit it to accept participantId and delegate per-candidate to VisibilityPolicy.CanParticipantViewResourceAsync (the participant-aware primitive already used by EventRecipientVisibility). DO NOT duplicate visibility logic - reuse VisibilityPolicy. This is the single source the feed (API-005) and entity search (API-006) will consume."
CORE-API-005,API Completeness,Implement the real participant visible-feed projection,livecore-platform,"GET /api/v1/participants/{participantId}/visible-feed returns the participant's actually-visible scenes/content/entities; a participant never sees content not revealed to them or revealed only to another participant.","Integration tests incl. the crown-jewel: a participant does NOT see another participant's private reveal; foreign-tenant 404; unowned participantId 404","TIER 1 CRITICAL - THE core participant feature. apps/api/Visibility/VisibilityEndpoints.cs returns ParticipantVisibleFeedResponse.Empty unconditionally and ParticipantVisibleFeedItem has no fields. Wire the handler to the now participant-aware VisibilityPreviewService (CORE-API-004) and give the feed item real participant-safe fields (resource type + id) matching the realtime SessionEventEnvelope.ForAudience projection so REST and realtime never diverge. Keep the existing fail-closed authorization (owner-only, hidden-404)."
CORE-API-006,API Completeness,Implement entity search audience visibility filtering,livecore-platform,"An audience participant's entity search returns the entities visible to them (not a hard-coded empty set); hosts still see all; fail-closed for undefined roles.","Unit + integration: participant sees only entities revealed to them, unauthorized/foreign-tenant returns empty/404","TIER 1 HIGH. apps/api/Entities/EntitySearchService.cs returns EntitySearchResult.AudienceEmpty() before any query for every audience role. Thread a participantId through the service and, for audience roles, filter candidates via VisibilityPolicy.CanParticipantViewResourceAsync over VisibilityResourceType.Entity (or reuse VisibilityPreviewService from CORE-API-004). Do not build a parallel visibility filter. Host path unchanged."
CORE-API-007,API Completeness,Implement documented read endpoints scene-by-id and me-entitlements,livecore-platform,"GET /api/v1/scenes/{sceneId} and GET /v1/me/entitlements return the documented role-aware projections; both authorized and tenant-scoped.","Integration + authorization negative tests for both","TIER 2 MEDIUM. docs/08 lists GET /api/v1/scenes/{sceneId} (host vs participant DTO via the existing scene projection) and mobile_store_api_routes.csv lists GET /v1/me/entitlements (the effective entitlements read; reuse SubjectEntitlementResolver). Both are documented-not-built. Fail-closed; reuse existing projections/resolvers."
CORE-REV-001,Reveal Lifecycle,Implement hide / un-reveal command,livecore-platform,"A host can take back a reveal so a previously visible resource becomes Hidden again; audience and selected participants stop seeing it; the change is audited and emitted; idempotent.","Integration: reveal then hide removes visibility for audience and selected participant; negative role/tenant tests; idempotent double-hide","TIER 1 HIGH. Reveal can only make things Visible; there is no way to un-reveal. The ChangeVisibility primitive + VisibilityRule already support VisibilityState.Hidden. Add a hide command/endpoint mirroring RevealEndpoints.cs (POST .../hide or a state param on reveal), reuse RevealService + IdempotencyKeyStore, append a VisibilityRuleChanged audit record on real change, and emit a ContentHidden (or reuse ContentRevealed semantics) session event IFF visibility actually changed. Fail-closed, same authz as reveal (Owner/Admin/Host/CoHost)."
CORE-LIFE-001,Resource Lifecycle and Deletion,Implement workspace and organization member removal,livecore-platform,"An authorized admin can remove a workspace member and an organization member, revoking their access; the last owner cannot be removed; removal is audited.","Integration: removed member loses access on the next request; cannot remove last owner; negative role/tenant tests","TIER 1 HIGH (authorization-critical: access cannot currently be revoked). Add DELETE /api/v1/workspaces/{workspaceId}/members/{memberId} and the org-member equivalent. Reuse WorkspaceMember/OrganizationMember aggregates + repos. Guard the last-Owner invariant. Append an audit record. Fail-closed; only Owner/Admin may remove; hidden-404."
CORE-LIFE-002,Resource Lifecycle and Deletion,Implement entity relationship removal,livecore-platform,"A host can remove a directed entity relationship edge; removal is tenant/workspace-scoped and authorized; removing a non-existent edge is a safe 404.","Unit + integration: edge removed, foreign-tenant/foreign-workspace 404, unauthorized role 403","TIER 2 HIGH. EntityRelationship edges can be added but never removed (the graph only grows). Add DELETE for a relationship via workspace-scoped lookup (resolve the parent workspace first, since the child FK does not DB-enforce same-workspace). Reuse EntityRelationshipRepository. Fail-closed; hidden-404."
CORE-LIFE-003,Resource Lifecycle and Deletion,Implement entity deletion,livecore-platform,"A host can delete an entity; its relationships and visibility rules are handled (cascade or block) consistently; deletion is authorized and audited.","Integration: delete entity, dependent edges/rules resolved, negative role/tenant tests","TIER 2 MEDIUM. Decide cascade vs block for dependent EntityRelationship edges, visibility_rules (polymorphic non-FK resource_id) and asset_links; document the choice (ADR if it is an architecture decision). Reuse EntityRepository; workspace-scoped lookup first. Append audit. Fail-closed; hidden-404."
CORE-LIFE-004,Resource Lifecycle and Deletion,Implement content block deletion,livecore-platform,"A host can delete a content block from a scene; its visibility rules and revisions are cleaned up consistently; authorized.","Integration + authorization negative tests","TIER 2 MEDIUM. ContentBlock has create + revisions but no delete. Resolve via scene/workspace-scoped lookup first. Handle dependent visibility_rules consistently with CORE-LIFE-003. Reuse ContentBlockRepository. Fail-closed; hidden-404."
CORE-LIFE-005,Resource Lifecycle and Deletion,Implement scene deletion,livecore-platform,"A host can delete a scene; remaining scenes re-pack their ordering without gaps; child content blocks are removed; authorized.","Integration: delete scene re-packs order and removes content, negative role/tenant tests","TIER 2 MEDIUM. Scene has create + ordering but no delete. After delete, re-pack the order index (reuse the SCENE-001 ordering logic). Cascade content blocks (CORE-LIFE-004). Reuse SceneRepository; workspace-scoped. Fail-closed; hidden-404."
CORE-LIFE-006,Resource Lifecycle and Deletion,Implement host-initiated asset deletion,livecore-platform,"A host can delete an asset; its links are removed and the underlying storage object is deleted via IAssetStorage; authorized and tenant-scoped.","Integration with a fake IAssetStorage recording the delete; asset-link cascade; negative role/tenant tests","TIER 2 MEDIUM. AssetRepository.DeleteAsync exists (used by the cleanup job) and IAssetStorage.DeleteObjectAsync exists, but there is no host-initiated delete endpoint and available assets cannot be deleted. Add DELETE /api/v1/assets/{assetId}: resolve workspace-scoped, remove asset_links (CORE-LIFE-007), then delete the storage object then the row (order so a storage failure leaves no dangling row, mirroring the upload-intent ordering). Fail-closed; 503 if storage unconfigured; hidden-404."
CORE-LIFE-007,Resource Lifecycle and Deletion,Implement asset-link removal,livecore-platform,"A host can unlink an asset from a content block or entity; the asset and target are unaffected; authorized.","Unit + integration + authorization negative tests","TIER 2 MEDIUM. AssetLink is created (POST /assets/{id}/links) but never removed. Add DELETE /api/v1/assets/{assetId}/links/{linkId}. Reuse AssetLinkRepository; workspace-scoped. Fail-closed; hidden-404."
CORE-LIFE-008,Resource Lifecycle and Deletion,Implement template deletion,livecore-platform,"An authorized admin can delete an org-scoped template; global templates cannot be deleted by an org; deletion does not affect already-instantiated entity types.","Integration: org template deleted, global template delete denied, negative tenant tests","TIER 3 MEDIUM. Template has create/load but no delete. Respect the global vs org template boundary (global not deletable by an org). Reuse the Templates module repos. Fail-closed; hidden-404."
CORE-LIFE-009,Resource Lifecycle and Deletion,Implement workspace archive,livecore-platform,"An owner can archive a workspace so it is read-only and excluded from active lists; archive is reversible or clearly terminal as decided; audited.","Integration: archived workspace rejects mutations and is hidden from active lists, negative role/tenant tests","TIER 3 MEDIUM. Workspace has create/read/update but no lifecycle end-state. Prefer soft archive (a status) over hard delete given child sessions/scenes/audit. Decide and document. Reuse Workspace aggregate; add a status transition like Participant.Remove. Fail-closed; Owner-only."
CORE-LIFE-010,Resource Lifecycle and Deletion,Implement session cancel or delete,livecore-platform,"A host can cancel a not-yet-started session or delete a draft session; append-only session_events and audit_logs are preserved; authorized.","Integration: cancel/delete a session, append-only history preserved, negative role/tenant tests","TIER 3 MEDIUM. Sessions can start/end (and create once CORE-API-003 lands) but have no cancel/delete. NEVER delete append-only session_events or audit_logs - prefer a Cancelled status. Reuse the Session aggregate lifecycle. Fail-closed; hidden-404. Depends on CORE-API-003."
CORE-EVT-001,Session Event Stream Completeness,Emit SessionStarted and SessionEnded events,livecore-platform,"Starting and ending a session appends and delivers the documented SessionStarted/SessionEnded session events to the authorized groups; reconnect replay includes them.","Integration: start/end persist exactly one event each and reach hosts/observers; replay includes them","TIER 3 HIGH. Only ContentRevealed is ever emitted; SessionEventTypes has one member, yet csv rows claim start/end emit events. These are subjectless audience events the recipient resolver already supports. Add the event names to the public SessionEventTypes contract, emit from the start/end endpoints via ISessionEventPublisher (the ENDPOINT publishes, matching the reveal pattern), and append a matching audit record. Reuse SessionEventRecipientResolver; no schema change."
