id,date_logged,logged_by_story,title,description,core_surface_area,why_not_arcanos_specific,arcanos_workaround,proposed_core_change,severity,status,livecore_docs_ref
ARC-GAP-000,2026-06-19,(example),Example row - replace with a real Core gap when one is found,"Template showing the format. A Core gap is something missing or insufficient in the LiveCore Core that ArcanOS needs but that is NOT ArcanOS-specific: it would help any vertical and belongs upstream in product-neutral Core, never in the ArcanOS vertical. Do NOT build a Core backend or duplicate Core authorization to work around it - log it here and raise it upstream.",API contract / event catalog / SDK surface / realtime / storage / entitlements,"Why the gap belongs in Core and not the vertical: it is product-neutral and would benefit ScenarioOS or any other vertical equally.","The minimal boundary-respecting thing ArcanOS does in the meantime (no Core backend, no duplicated authorization, no vendored Core source).","The product-neutral change Core could make (a new route/event/SDK method/field), phrased without any Pen-and-Paper vocabulary.",low,example,livecore docs/08_API_CONTRACTS.md
ARC-GAP-002,2026-06-20,ARC-THEME-004,Visibility contract is binary and cannot express a non-shareable or scheduled state,"Core's VisibilityState is just Hidden/Visible and the visibility contracts (VisibilityRuleResponse, RevealResponse/HideResponse) carry no flag for a resource that can never be revealed (a permanently restricted/'locked' state) nor for a timed/'scheduled' reveal. A consumer rendering a granular 'who sees what' visibility matrix can derive audience-wide vs selected-participant scope from participantId, but has no server-projected fact to distinguish a permanently-locked resource (or a scheduled one) from an ordinary Hidden one, so those presentation states have no projection to bind to.",API contract / SDK surface (@livecore/contracts visibility module),"Any vertical that presents a visibility matrix (a scheduled drip, an immutable/sealed resource) needs a richer projected visibility state; it is product-neutral resource-visibility vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS models a server-asserted 'locked' boolean on its OWN presentation projection (src/lib/visibility/permission-chip.ts) that defaults to false and is bound only to a future Core-projected fact - presentation only, no Core backend, no duplicated authorization, no vendored Core source; the chip stays unreachable until Core supplies the fact and visibility is never computed locally.","Extend the projected visibility surface so a rule/feed item can carry a non-shareable ('Locked') state and an optional scheduled-reveal timestamp - e.g. add a richer VisibilityState member or a locked flag + scheduledAt field to the visibility rule and participant-visible feed contracts - so a consumer can bind these presentation states to a server projection.",low,addressed,livecore docs/08_API_CONTRACTS.md
ARC-GAP-001,2026-06-20,ARC-THEME-001,Status colour roles have no paired on-colour foreground token,"The ThemeTokens ColorRole contract pairs a foreground only with primary/secondary/accent (primaryForeground/secondaryForeground/accentForeground). The status roles success/warning/danger/info have no paired *Foreground role, so a vertical rendering an accessible status surface (a destructive button, a status badge/alert, the shadcn --destructive-foreground variable) has no contract token for readable on-status text and must derive one.",SDK surface (@livecore/design-tokens ThemeTokens / ColorRole contract),"Every vertical that maps Core ColorRoles onto a component system needs an on-status text colour for accessible contrast; it is product-neutral UI vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS derives an accessible on-status foreground by WCAG max-contrast (near-white vs near-black) in the theme emitter (src/lib/theme/css-variables.ts, contrastingChannels) - presentation only, no Core backend, no duplicated authorization, no vendored Core source.","Add paired foreground roles (successForeground/warningForeground/dangerForeground/infoForeground) to ColorRole, or a generic on-colour mapping in ThemeTokens, so the contract supplies a readable on-status text value for every status role.",low,addressed,livecore docs/05_MODULE_CONTRACTS.md
ARC-GAP-003,2026-06-20,ARC-REVEAL-006,Participant visible-feed item carries no projected fields a consumer can render,"The participant-visible feed (GET /api/v1/participants/{participantId}/visible-feed -> ParticipantVisibleFeedResponse) returns an items list whose element type ParticipantVisibleFeedItem is an empty object (Record<string, never>) and is documented as always empty in the current Core surface. The response is correctly already-filtered and host-only-stripped, but a consumer that reads only this feed has no participant-safe projected fields (resource type/id, a projected title or body, a revealed-at timestamp) to actually render the revealed content to the audience, so an audience-facing 'what you can see' view can only show that an item exists, not what it is.",API contract / SDK surface (@livecore/contracts visibility module),"Any vertical with an audience/participant surface that reads getParticipantVisibleFeed needs renderable, participant-safe projected fields on the feed item to display revealed content; it is product-neutral audience-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS renders the Core-projected items list as received through a single projection-only seam (src/lib/visibility/participant-visible-feed.ts) - one neutral entry per Core item, with accessible empty/loading/error states - and invents no item content; the view depends on no per-item field, so it works unchanged when Core enriches the item. Presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","Give ParticipantVisibleFeedItem a participant-safe projected shape - e.g. resourceType, resourceId, an audience-safe title/body projection and a revealedAt timestamp (and optionally a participant-scoped vs audience-wide marker) - so a consumer can render the actual revealed content from the feed without reaching for any host read.",low,addressed,livecore docs/08_API_CONTRACTS.md
ARC-GAP-004,2026-06-20,ARC-AST-001,No client-reachable route confirms an upload so a Pending asset can become Available,"Core registers an asset as Pending at upload-intent (POST /api/v1/assets/upload-intent) and mints a short-lived signed PUT url, but the only Pending->Available transition (the Asset.MarkAvailable domain method) is exposed by NO HTTP route or SDK method: the whole asset route surface is upload-intent, download-url, links (create/delete) and delete, none of which confirms a completed upload. So after a client PUTs the object to the signed url it cannot tell Core the upload finished; the asset stays Pending (download-url is 409 for a Pending asset) until the background cleanup job reclaims it after the grace window. A consumer can register and upload an asset but can never make it Available/downloadable.",API contract / SDK surface (@livecore Assets module),"Any vertical that uploads assets needs to confirm a finished upload so the asset becomes usable; it is product-neutral object-storage lifecycle, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS performs the upload intent and the signed PUT and renders the SERVER-decided AssetStatus verbatim (Pending) - it never fabricates Available or computes the lifecycle locally (src/lib/data/hooks/use-assets.ts); the asset surfaces as Pending and the download side stays fail-closed until Core exposes a confirm step. No Core backend, no duplicated authorization, no vendored Core source.","Expose the existing Asset.MarkAvailable transition as a client-reachable confirm step - e.g. POST /api/v1/assets/{assetId}/confirm-upload (authorized to the host-content roles, carrying the uploaded size/checksum) with a matching client.assets.confirmUpload SDK method - or drive the Pending->Available transition from a storage upload event/webhook so a successfully uploaded object becomes Available without a dead domain method.",medium,addressed,livecore docs/12_STORAGE_ASSETS.md
ARC-GAP-005,2026-06-20,ARC-PWA-004,No Web Push subscription registration or server-side push delivery endpoint,"Core's realtime surface is the SignalR session hub only (client.realtime.connect over /hubs/session). There is no route or SDK method to register a browser PushSubscription (endpoint + p256dh/auth keys) with Core, and no server-side Web Push delivery, and Core exposes no VAPID public key for a client to subscribe against. SignalR needs an open connection, so a consumer can only notify a participant while connected (a foreground or backgrounded tab); it cannot deliver a Web Push when the app/tab is fully closed.",realtime / SDK surface (@livecore realtime + push),"Any vertical with a participant/audience surface that wants a closed-app notification on a new event needs push-subscription registration plus server-side delivery; it is product-neutral realtime/notification plumbing, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS implements the client-side Web Push primitives only - opt-in permission, a PushManager subscription gated on a deployment-configured VAPID PUBLIC key, and a content-free service-worker push/notification handler (src/lib/pwa/web-push.ts) - and drives the in-session notification from the AUTHORIZED realtime stream (client.realtime.connect -> LiveSessionEvent reveal/whisper signal, ARC-RT-002) via the service worker, showing only a content-free 'open the app' prompt. With no Core subscription endpoint the subscription degrades to 'unconfigured' and no closed-app delivery is attempted. No Core backend, no duplicated authorization, no token minted, and no Core content in the notification.","Add a push-subscription registration surface scoped to the authenticated principal (e.g. POST /api/v1/me/push-subscriptions storing endpoint + p256dh/auth keys, with a matching delete and a client.pushSubscriptions SDK method), expose the deployment VAPID public key, and add server-side Web Push fan-out of the already-authorized, recipient-filtered session events as CONTENT-FREE pushes (an identifier/signal only, never projected content), so a vertical can deliver a closed-app reveal/whisper nudge without crossing the boundary or duplicating Core authorization.",medium,addressed,livecore docs/11_REALTIME_SYNC.md
ARC-GAP-006,2026-06-20,ARC-HOST-004,Visibility rule projection carries no resource label for a 'who sees what' matrix,"The visibility rule projection (VisibilityRuleResponse from GET /api/v1/sessions/{sessionId}/visibility-rules) identifies the governed resource only by resourceType + resourceId (a surrogate id); it carries no denormalized, audience-safe resource label or title. A consumer rendering a per-resource 'who sees what' visibility matrix from listRules therefore has no human-readable name for each resource row and must either display an opaque id or issue N extra per-resource host reads (scenes/content/entities) purely to label the rows - which also widens the consumed surface beyond the visibility module.",API contract / SDK surface (@livecore/contracts visibility module),"Any vertical that renders a visibility or audience matrix keyed by the rule list needs a renderable resource label on the projection to avoid N extra reads; it is product-neutral projection ergonomics, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS derives each matrix row header from the Core projection only - the localized resourceType label plus the surrogate resourceId rendered verbatim - and never reaches for a host scene/content read to guess a name (src/lib/visibility/audience-control-matrix.ts, src/components/host/audience-control-view.tsx). Presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","Add an audience-safe, denormalized resource label to the visibility rule projection - e.g. a resourceLabel/title field on VisibilityRuleResponse (and optionally on the participant-visible feed item) - so a consumer can name each matrix row from the rule list alone without a per-resource host read.",low,addressed,livecore docs/08_API_CONTRACTS.md
ARC-GAP-007,2026-06-20,ARC-PC-002,A participant cannot resolve its own participant id for a session,"Every audience-facing read is keyed by a participantId: GET /api/v1/participants/{participantId}/visible-feed -> ParticipantVisibleFeedResponse, and the roster lists participants. But a participant has no in-scope way to learn its OWN participantId in a session. GET /api/v1/me (CurrentPrincipalResponse) returns only the caller's user profile id and org memberships - no session participations and no participant ids - and the audience-safe roster (ParticipantRosterView) carries only participantId + displayName + presence with no self/user-id marker. So a participant/audience surface cannot call getParticipantVisibleFeed for itself unless the host hands it the surrogate participantId out of band; it cannot self-resolve which participant it is, and matching /me against the roster is impossible (the audience roster exposes no user id) and would be a forbidden local guess anyway.",API contract / SDK surface (@livecore identity + participants/visibility modules),"Any vertical with a participant/audience surface that reads a participant-keyed feed needs the participant to resolve its own participant id for a session; it is product-neutral identity-to-participation resolution, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS supplies the Player's participantId to the current-scene view OUT OF BAND (from the join context / a host-issued per-participant link) and threads it as an explicit prop; the current-scene section FAILS CLOSED - it is not mounted and makes NO feed read - until a participantId is known (src/components/participant/participant-session-shell.tsx, src/components/participant/current-scene-view.tsx). ArcanOS never derives the participant id locally (it never matches /me against the roster) and never computes visibility locally. Presentation only, no Core backend, no duplicated authorization, no vendored Core source.","Let a participant resolve its own session participation - e.g. add the caller's session participations (sessionId + participantId pairs) to CurrentPrincipalResponse, or expose a GET /api/v1/sessions/{sessionId}/me participant-context route, and/or add an isSelf marker to the audience-safe roster entry - so a vertical can read getParticipantVisibleFeed for the authenticated participant without the host passing the surrogate id out of band.",medium,addressed,livecore docs/06_AUTHORIZATION_MATRIX.md
ARC-GAP-008,2026-06-20,ARC-PC-004,Audience-safe entity projection carries no entity-type discriminator,"The audience-safe entity projection (ParticipantEntityResponse from GET /api/v1/workspaces/{workspaceId}/entities and /entities/{entityId}, returned to the audience roles) carries only the entity's id and name; it omits the entityTypeId the host EntityResponse carries (and any audience-safe type label). So an audience/participant surface that lists entities cannot tell whether a given entity is one kind or another (in ArcanOS: a Quest vs an NPC/Location/Item) and cannot build a type-specific audience view (a quest log, a known-NPCs directory, a locations gazetteer) from the entity list alone. Combined with ARC-GAP-003 (the participant visible-feed item carries no resourceType/resourceId), an audience consumer can neither identify which revealed feed item is an entity nor classify which entities are of a given type.",API contract / SDK surface (@livecore/contracts entities module),"Any vertical with an audience surface that groups or filters entities by kind needs an audience-safe type discriminator on the participant projection; it is product-neutral entity-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS gates the quest log on the participant's own already-filtered visible feed (the reveal gate) and resolves quest names from the audience-safe entity list, applying a forward-compatible read of the audience-safe type key the entity projection would carry (src/lib/quests/quest-log.ts, src/components/participant/quest-log-view.tsx). Until Core projects a type discriminator the read resolves nothing, so the quest log shows the neutral empty state and never renders an unrevealed or mis-typed entity; presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","Add an audience-safe entity-type discriminator to ParticipantEntityResponse - e.g. an entityTypeKey (the type's stable natural key) and/or an entityTypeId/displayName - so a consumer can group and filter the audience entity list by kind without a host read; and optionally project resourceType on the participant visible-feed item (see ARC-GAP-003) so a revealed feed item can be tied to its entity.",low,addressed,livecore docs/08_API_CONTRACTS.md
ARC-GAP-009,2026-06-20,ARC-PC-005,No audience-safe way to enumerate the assets (handouts) attached to a revealed resource,"The asset surface (client.assets) exposes createUploadIntent, getDownloadUrl, createLink, deleteLink and delete, but NO route or SDK method lists the assets attached to a resource, and there is no audience-safe projection of a revealed resource attachments. A Handout is an Asset linked (createLink) to a ContentBlock/Entity that inherits that resource audience visibility, but a participant/audience surface has no way to discover WHICH assets are attached to a resource the participant can see: getDownloadUrl needs an assetId the consumer must already hold, and the participant visible-feed item carries no resource reference (ARC-GAP-003) let alone an attachment list. So an audience-facing handout viewer can request an authorized download for an assetId it is given, but cannot enumerate the handouts a Player has actually been shown.",API contract / SDK surface (@livecore Assets + visibility modules),"Any vertical with an audience surface that presents downloadable attachments of revealed content (a slide handout, an evidence file, a map) needs an audience-safe way to list the assets attached to a resource the participant can see; it is product-neutral asset-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","ArcanOS gates the handout viewer on the participant own already-filtered visible feed (the reveal gate) and applies a forward-compatible read of the audience-safe attachments the feed item would carry (src/lib/handouts/participant-handouts.ts, src/components/participant/handout-viewer.tsx); every listed handout is downloaded only through the server-side getDownloadUrl permission check (defense in depth), so a Player can never download a hidden handout. Until Core projects an attachment list the viewer resolves nothing and shows the neutral empty state. Presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","Add an audience-safe projection of the assets attached to a revealed resource - e.g. project an attachments list (each assetId plus an audience-safe name/contentType) onto the participant visible-feed item (composing with ARC-GAP-003), and/or add an audience-safe per-resource attachments read restricted to callers who can see the target - so a consumer can enumerate the handouts a participant has been shown and then request the authorized download per asset, without a host read.",low,addressed,livecore docs/12_STORAGE_ASSETS.md
