id,date_logged,logged_by_story,title,description,core_surface_area,why_not_arcanos_specific,arcanos_workaround,proposed_core_change,severity,status,livecore_docs_ref
ARC-GAP-100,,,Example row - replace with a real Phase-2 Core gap when one is found,"Phase-2 Core gaps (surfaced while wiring the finished product) are logged HERE, not in csv/core_gaps.csv. Use ids in the ARC-GAP-1xx range. Keep the same columns as csv/core_gaps.csv. A gap belongs here only if it is product-neutral (would help any vertical) and NOT ArcanOS-specific; otherwise solve it inside ArcanOS.",n/a,n/a,n/a,n/a,info,example,docs/25_CORE_GAPS_AND_UPSTREAM.md
ARC-GAP-101,2026-06-21,ARC-ONB-004,No user-scoped discovery of pending workspace invitations,"A freshly invited user who is not yet a member of any workspace has no audience-safe way to discover the invitation that was sent to them: the SDK exposes invitation listing only per-workspace (client.workspaces.listInvitations, scoped to a workspace the user can already see, Owner/Admin-authorized), so the onboarding ""accept your invitation"" flow has no entry point for a user with zero current memberships. Confirmed against the published 0.2.0 SDK surface.",Workspaces / memberships / invitations API + SDK,Any vertical that onboards invited collaborators needs a user-scoped pending-invitation list; it is not Pen-and-Paper specific.,"Implemented in ARC-ONB-004: the invitee accepts at /invitations/accept via an OUT-OF-BAND link that carries ONLY the non-secret org slug + workspace id (never the one-time code), and supplies the code itself; client.workspaces.acceptInvitation redeems it with the org slug taken from the link, NOT the active-tenant context (useAcceptInvitationByLinkMutation), so it works for a user with zero current memberships. The code travels in the request body, never the URL; no workspace is enumerated and no Core authorization is duplicated.","Add a user-scoped endpoint + SDK method (e.g. GET /api/v1/me/invitations -> client.invitations.listMine) returning the caller's pending workspace invitations as an audience-safe projection, so a vertical can render an in-app accept flow without enumerating workspaces.",medium,addressed,livecore docs/06_AUTHORIZATION_MATRIX.md; livecore docs/08_API_CONTRACTS.md
ARC-GAP-102,2026-06-21,ARC-ONB-002,No Idempotency-Key on the workspace (and other resource) create commands,"The reveal/hide commands accept a reused Idempotency-Key (client.visibility.reveal/hide take { idempotencyKey } and the SDK sends the Idempotency-Key header), but the resource CREATE commands do not: client.workspaces.create(request) takes no options argument and sends no Idempotency-Key, so a create that times out or is retried on a flaky network can silently produce a DUPLICATE resource. A client cannot make creation safely retryable at the HTTP layer through the pinned 0.2.0 SDK surface. Confirm against the published 0.2.0 SDK before filing upstream.",Workspaces (and sessions/scenes/content/entities) create API + SDK,"Any vertical creating resources wants safe-retry creation to avoid duplicates on a network retry or a double-submit; it is a generic write-safety concern, not Pen-and-Paper specific.","The create-campaign form prevents duplicates at the only boundary it controls: it disables the submit and returns early while a create is in flight (no double-submit), does not opt the mutation into retries (the app-wide mutations.retry:false default holds), and navigates away on success so the same draft cannot be re-submitted. No Core authorization is duplicated and no client-side key is minted.","Accept an optional Idempotency-Key on the create commands (e.g. client.workspaces.create(request, { idempotencyKey }) sending the Idempotency-Key header, mirroring reveal/hide), so a vertical can make resource creation retry-safe and the server can dedupe a retried create.",medium,open,livecore docs/08_API_CONTRACTS.md
ARC-GAP-103,2026-06-22,ARC-ONB-005,No workspace-member roster READ in the published SDK,"The story asks the UI to ""view workspace members and roles and change or remove them"" against GET /api/v1/workspaces/{workspaceId}/members, but the pinned @livecore 0.2.0 SDK surfaces NO member-roster read: client.workspaces exposes list/create/get/getWithETag/update/archive/inviteMember/listInvitations/acceptInvitation/revokeInvitation/removeMember — and removeMember (DELETE .../members/{memberId}) but no listMembers — and no contract type projects OTHER members of a workspace with their membership ids. The only membership a client can read is the CALLER's OWN org membership (OrganizationMembershipResponse via client.identity.getCurrentPrincipal), which carries no workspace membership id and no other member. So a vertical cannot enumerate a campaign's members, render their roles, or obtain the memberId removeMember needs without crossing the Core boundary. There is also no member ROLE-CHANGE command in the surface (only remove). Confirmed against the published 0.2.0 SDK surface.",Workspaces / memberships API + SDK,"Any vertical that manages a team/workspace needs to list its members and their roles to administer them; a member roster + role management is a generic collaboration concern, not Pen-and-Paper specific.","Implemented in ARC-ONB-005: the member-roster panel renders the ONLY member Core projects — the caller's OWN active-tenant membership + role (useWorkspaceMembersQuery -> buildWorkspaceMemberRoster over client.identity.getCurrentPrincipal), projection-only and allow-listed (never another tenant's membership or a host-only field), with a neutral note that the party grows via invitations (no fabricated members, no enumerated workspace). The campaign name is resolved from client.workspaces.list. The remove flow is fully built on client.workspaces.removeMember (DELETE .../members/{memberId}) and is presentationally role-gated (canManageMembers, Owner/Admin) — never the boundary; Core authorizes every call and a 404 is fail-closed. useWorkspaceMembersQuery is the SINGLE seam an upstream roster read would replace, so the panel + tests light up for every member unchanged. No Core backend is built and no Core authorization is duplicated.","Add a workspace-member roster read + SDK method (e.g. GET /api/v1/workspaces/{workspaceId}/members -> client.workspaces.listMembers returning a paged WorkspaceMemberResponse projection with each member's membership id, role and audience-safe display metadata) and a role-change command (e.g. PATCH .../members/{memberId} -> client.workspaces.updateMemberRole), so a vertical can render and administer a member roster without crossing the boundary.",high,open,livecore docs/06_AUTHORIZATION_MATRIX.md; livecore docs/08_API_CONTRACTS.md
ARC-GAP-104,2026-06-22,ARC-HX-008,No client-reachable upload-confirm and no asset enumeration bit the host handout-authoring flow,"Wiring the DM handout-authoring flow (upload -> attach -> reveal) re-surfaced two pinned-0.2.0 asset-surface gaps already logged Phase-1 (ARC-GAP-004, ARC-GAP-009) as they bit the HOST authoring side: (a) NO client-reachable upload-confirm route — the only Pending->Available transition (Asset.MarkAvailable) is exposed by NO HTTP route or SDK method, so after client.assets.createUploadIntent + the signed PUT the asset stays Pending and client.assets.getDownloadUrl is 409 until the background cleanup job reclaims it; a DM can upload and attach a handout but can never make it Available/downloadable from the client. (b) NO asset enumeration — client.assets exposes createUploadIntent/getDownloadUrl/createLink/deleteLink/delete but NO route or SDK method lists the assets in a workspace (or those linked to a resource), so the host authoring UI cannot enumerate a campaign's handouts to re-attach, reveal or delete one across page loads. Confirmed against the published 0.2.0 SDK surface.",API contract / SDK surface (@livecore Assets module),"Any vertical that uploads and manages downloadable attachments (a slide, an evidence file, a map) needs to confirm a finished upload so the asset becomes usable AND to enumerate a workspace's assets to manage them; both are product-neutral object-storage lifecycle concerns, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","Minimal, boundary-respecting (src/components/host/handout-authoring-panel.tsx): the panel renders the SERVER-decided AssetStatus VERBATIM (Pending — never fabricated as Available) with an explicit ""awaiting availability"" note, and the download stays server-gated (a hidden/Pending handout is refused at getDownloadUrl and NOTHING is opened — the negative-security property); for the missing enumeration it tracks ONLY the handouts it uploaded THIS session in ephemeral component state (it enumerates nothing, holds no hidden content and caches no Core list). The flow stays usable: a Pending handout can still be attached (createLink) and its content block revealed; players download it once Core marks it Available. No Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","(1) Expose the existing Asset.MarkAvailable transition as a client-reachable confirm step (e.g. POST /api/v1/assets/{assetId}/confirm-upload -> client.assets.confirmUpload, host-content-role authorized, carrying the uploaded size/checksum) or drive the Pending->Available transition from a storage upload event/webhook; (2) add an asset enumeration read (e.g. GET /api/v1/workspaces/{workspaceId}/assets -> client.assets.list returning a paged AssetResponse projection, and/or a per-resource attachments read restricted to callers who can see the target) so a vertical can list and manage a workspace's assets without crossing the boundary.",medium,open,livecore docs/12_STORAGE_ASSETS.md
ARC-GAP-105,2026-06-22,ARC-PX-001,No participant self-id resolution for the participant-driven join flow,"Wiring the REAL participant join (ARC-PX-001) re-surfaced the Phase-1 gap ARC-GAP-007 on the participant WRITE side: a participant joins a session with client.sessions.joinParticipant(sessionId, participantId) (POST /api/v1/sessions/{sessionId}/participants) and every audience read is keyed by a participantId, but a participant has NO in-scope way to learn its OWN participantId for a session. GET /api/v1/me (CurrentPrincipalResponse) returns only the caller's user profile id and org memberships — no session participations and no participant ids — and the audience-safe roster (ParticipantRosterView) carries only participantId + displayName + presence with no self/user-id marker. So a participant/audience surface cannot call joinParticipant for ITSELF, nor read getParticipantVisibleFeed for itself, unless the host hands it the surrogate participantId out of band; matching /me against the roster is impossible (the audience roster exposes no user id) and would be a forbidden local guess anyway. Confirmed against the published 0.2.0 SDK surface.",API contract / SDK surface (@livecore identity + sessions/participants/visibility modules),"Any vertical with a participant/audience surface that JOINS and reads a participant-keyed feed needs the participant to resolve its own participant id for a session; it is product-neutral identity-to-participation resolution, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally. It is the same gap as ARC-GAP-007, re-confirmed for the Phase-2 finished join flow.","Implemented in ARC-PX-001: the join surface resolves the Player's participant id ONLY out of band — from the host-issued per-participant link (parseJoinTarget extracts ?participant=/​/participants/<id>; src/lib/sessions/join-session.ts) — and records presence with client.sessions.joinParticipant via the typed data layer (useJoinParticipantMutation). When the link carries NO participant id, ArcanOS makes NO join write and mounts the participant shell WITHOUT a participant id, so the participant-keyed sections fail closed (src/components/participant/join-session-view.tsx). ArcanOS never derives the participant id locally (it never matches /me against the roster) and never computes visibility locally; a malformed input fails closed with no Core call. Presentation only, no Core backend, no duplicated authorization, no vendored Core source.","Let a participant resolve its own session participation — e.g. add the caller's session participations (sessionId + participantId pairs) to CurrentPrincipalResponse, or expose a GET /api/v1/sessions/{sessionId}/me participant-context route, and/or add an isSelf marker to the audience-safe roster entry — so a vertical can JOIN as, and read getParticipantVisibleFeed for, the authenticated participant without the host passing the surrogate id out of band.",medium,addressed,livecore docs/06_AUTHORIZATION_MATRIX.md; livecore docs/08_API_CONTRACTS.md
ARC-GAP-106,2026-06-22,ARC-PX-003,The participant visible feed projects no active/current scene,"Wiring the current-scene mount (ARC-PX-003) surfaced that the participant visible feed projects NO active/current scene. GET /api/v1/participants/{participantId}/visible-feed -> ParticipantVisibleFeedResponse carries only participantId, workspaceId, items (the always-empty skeleton, ARC-GAP-003) and generatedAt — there is no audience-safe projection of WHICH scene is currently active for the participant. The audience-safe ParticipantSceneResponse (id+title+order) exists and is returned by the scene reads, but a participant cannot tell which scene is active without enumerating workspace scenes (a wider surface, with no audience-safe 'active' marker), and SceneActivated is a host-side live signal carrying only a SceneId, not an audience-safe scene projection. So an audience surface cannot render the current scene from the visible feed alone. Confirmed against the published 0.2.0 SDK surface.",API contract / SDK surface (@livecore/contracts visibility + scenes modules),"Any vertical with an audience surface that shows 'where we are now' (the current scene/segment/act/slide) needs an audience-safe active-scene projection on the participant feed; it is product-neutral audience-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","Implemented in ARC-PX-003: the current-scene view binds to a forward-compatible, projection-only seam (participantActiveScene, src/lib/visibility/participant-visible-feed.ts) that derives the audience-safe ParticipantSceneResponse from the active scene the visible feed WOULD project — allow-listing ONLY id/title/order so no host-only field can travel through — and re-resolves it whenever a reveal re-reads the feed, so the scene transitions live on reveal. Until Core projects an active scene the seam resolves null and the view shows the neutral 'stage is being set' state; it depends on no per-feed field and activates unchanged when Core enriches the feed. Presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally; the view issues no host/by-id scene read.","Project the participant's active/current scene onto the visible feed — e.g. add a currentScene field (the audience-safe ParticipantSceneResponse) to ParticipantVisibleFeedResponse, refreshed when the host activates a scene — so a consumer can render the current scene from the participant feed alone (the read it already makes) without enumerating workspace scenes or reaching for a host read.",low,open,livecore docs/08_API_CONTRACTS.md
ARC-GAP-107,2026-06-22,ARC-PX-006,Audience-safe entity projection still carries no entity-type discriminator (re-confirmed for the player entity browser),"Mounting the Player Companion's audience-safe entity browser (the ""Known to you"" / Known NPCs/Locations screen, ARC-PX-006) re-surfaced the Phase-1 gap ARC-GAP-008 on the finished participant surface: the audience-safe entity projection (ParticipantEntityResponse from GET /api/v1/workspaces/{workspaceId}/entities, returned to the audience roles) carries ONLY the entity's id and name. It omits the entityTypeId the host EntityResponse carries and any audience-safe type label, so a participant surface that lists entities cannot tell whether a revealed entity is an NPC, a Location, an Item or a Quest, and cannot offer the per-kind browsing (Known NPCs / Locations / Items) the screen envisions; the browser must render a flat, un-grouped list and the quest log (ARC-PC-004) cannot identify which revealed entities are Quests. Combined with ARC-GAP-003 (the participant visible-feed item carries no resourceType/resourceId), an audience consumer can neither identify which revealed feed item is an entity nor classify the entities by kind. Confirmed against the published 0.2.0 SDK surface (ParticipantEntityResponse = { id, name }).",API contract / SDK surface (@livecore/contracts entities + visibility modules),"Any vertical with an audience surface that groups or filters revealed entities by kind (a cast list, a places gazetteer, an inventory) needs an audience-safe type discriminator on the participant projection; it is product-neutral entity-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally. It is the same gap as ARC-GAP-008, re-confirmed for the Phase-2 finished entity browser.","Implemented in ARC-PX-006: the entity browser gates on the participant's OWN already-filtered visible feed (the reveal gate) and resolves names from the audience-safe entity list (the NAME source, never the reveal gate), through one pure projection seam (participantKnownEntities, src/lib/entities/participant-known-entities.ts) shared in spirit with the quest log. It applies a forward-compatible read of the audience-safe type key the projection WOULD carry: when present it renders the localized ArcanOS kind label (NPC/Location/Quest/Item), otherwise a neutral kind label, and never groups by kind. Until Core projects a reveal reference (ARC-GAP-003) no entity is resolvable, so the browser shows the neutral ""nothing known yet"" state and never an unrevealed or mis-typed entity; presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally. The browser/quest log activate with no code change once Core enriches either projection.",Add an audience-safe entity-type discriminator to ParticipantEntityResponse - e.g. an entityTypeKey (the type's stable natural key) and/or an entityTypeId/displayName - so a consumer can group and filter the audience entity list by kind without a host read; and optionally project resourceType/resourceId on the participant visible-feed item (see ARC-GAP-003) so a revealed feed item can be tied to its entity.,low,addressed,livecore docs/08_API_CONTRACTS.md
ARC-GAP-108,2026-06-22,ARC-PX-011,Participant visible-feed surfaces are inert - no audience-safe enrichment to resolve a revealed item,"The participant visible feed (GET /api/v1/participants/{participantId}/visible-feed -> ParticipantVisibleFeedResponse) reveals items to a participant, but the item (ParticipantVisibleFeedItem) is the empty {} skeleton (ARC-GAP-003: no resourceType/resourceId), there is no audience-safe enumeration of the assets attached to a revealed resource (ARC-GAP-009), and ParticipantEntityResponse carries no entity-type discriminator (ARC-GAP-008); combined with no client-reachable upload-confirm (ARC-GAP-004) an attached asset cannot become Available/downloadable from the client. So a participant surface that maps the feed to handouts (the handout viewer, ARC-PX-004) or quests (the quest log, ARC-PX-006) can resolve NOTHING even though Core HAS revealed something to the participant - the surface is inert, and rendering the neutral empty would be a silent broken empty. Confirmed against the published 0.2.0 SDK surface (ParticipantVisibleFeedItem = Record<string, never>, ParticipantEntityResponse = id + name).",API contract / SDK surface (@livecore/contracts visibility + entities + assets modules),"Any vertical with an audience surface that renders the resources and assets revealed to a participant needs the participant feed item to carry an audience-safe resource reference plus an attachment enumeration, and the audience entity projection to carry a type discriminator; it is product-neutral audience-projection vocabulary, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally. It bundles ARC-GAP-003, ARC-GAP-008, ARC-GAP-009 and ARC-GAP-004, re-confirmed from the participant CONSUMER side for the finished feed surfaces.","Implemented in ARC-PX-011: rather than a silent broken empty, the handout viewer and quest log render an EXPLICIT, localized revealed-but-not-yet-available state when the feed carries reveals that no audience-safe field can resolve (isParticipantFeedRevealedButUnavailable, src/lib/visibility/participant-visible-feed.ts) - never a host-only field; both depend on no per-item field and activate unchanged (resolve real entries, or show their neutral empty for a kind-free reveal) the moment Core enriches the projection. A staged contract canary (src/lib/visibility/feed-enrichment-canary.ts) pins the inert ParticipantVisibleFeedItem and the un-typed ParticipantEntityResponse with type-level assertions, so a Core packages upgrade that adds the fields fails the typecheck / core:surface gate automatically. Presentation only, no Core backend, no duplicated authorization, no vendored Core source, visibility never computed locally.","Project the bundled audience-safe enrichment onto the participant surfaces: (1) add resourceType + resourceId to ParticipantVisibleFeedItem (ARC-GAP-003) so a revealed feed item ties to the resource it revealed; (2) add an audience-safe attachments projection (each with an assetId and optional name) to the feed item (ARC-GAP-009) so a consumer can enumerate the assets attached to a revealed resource; (3) add an audience-safe entityTypeKey to ParticipantEntityResponse (ARC-GAP-008) so a consumer can classify a revealed entity by kind; and (4) expose the Pending to Available asset transition as a client-reachable confirm step (ARC-GAP-004) so an attached asset becomes downloadable - so a vertical can render the resources and assets revealed to a participant without crossing the boundary.",medium,addressed,livecore docs/08_API_CONTRACTS.md; livecore docs/12_STORAGE_ASSETS.md
ARC-GAP-109,2026-06-22,ARC-JNY-000,No published canonical pull-able Core API/migrations container image coordinate for a pinned e2e harness,"Standing up an ArcanOS-owned e2e test harness (ARC-JNY-000) that brings up a PINNED Core without vendoring Core source needs a published, version-pinned, pull-able Core API + migrations image. The upstream Compose stack (livecore-platform/deploy/compose/docker-compose.yml) BUILDS the api/migrate images from source (build: context: ../.., image: livecore-api:local) rather than publishing a versioned registry coordinate, so a downstream vertical must either vendor/clone Core source to build them (crossing the no-vendor boundary) or assume an un-published, un-versioned tag. There is no documented ghcr.io/registry coordinate pinned to the released @livecore 0.2.0 package version.",Deployment / release artifacts (container image publishing),"Any vertical that runs a pinned Core for its own end-to-end testing needs a published, version-pinned, pull-able Core image so it does not have to build Core from source; it is a generic release/distribution concern, not Pen-and-Paper specific, and would help ScenarioOS or any other vertical equally.","Implemented in ARC-JNY-000: the harness references the Core api/migrations images by an ENV-OVERRIDABLE coordinate (LIVECORE_API_IMAGE / LIVECORE_MIGRATIONS_IMAGE) defaulting to the conventional ghcr.io/live-experience-application/livecore-api:0.2.0 pinned to the SAME version the @livecore packages pin (version-lockstep.ts), and uses image: (PULL) never build: (the evaluateComposePullsPinnedCore contract forbids a build: so no Core source is ever vendored/compiled). The operator/CI overrides the coordinate to their registry or a digest. No Core source is cloned, no Core backend is built, no Core authorization is duplicated.","Publish the Core API + migrations container images to a public registry under a coordinate pinned to each released package version (e.g. ghcr.io/<org>/livecore-api:<version> and livecore-migrations:<version>, ideally also by digest), and document it, so a vertical can pull a pinned Core for end-to-end testing without building from source.",medium,open,livecore docs/13_SELF_HOSTING_REQUIREMENTS.md; livecore docs/23_PACKAGE_VERSIONING.md
