migration,operations,policy
20260611105005_AddUserProfileReference,DropTable,roll-forward-only
20260611111901_AddOrganization,DropTable,roll-forward-only
20260611113810_AddOrganizationMember,DropTable,roll-forward-only
20260611123207_AddWorkspace,DropTable,roll-forward-only
20260611124934_AddWorkspaceMember,DropTable,roll-forward-only
20260611134619_AddWorkspaceInvitation,DropTable,roll-forward-only
20260611143334_AddParticipant,DropTable,roll-forward-only
20260611195101_AddSession,DropTable,roll-forward-only
20260612061349_AddScene,DropTable,roll-forward-only
20260612074143_AddContentBlock,DropTable,roll-forward-only
20260612094505_AddEntityType,DropTable,roll-forward-only
20260612100947_AddEntity,DropTable,roll-forward-only
20260612103450_AddEntityRelationship,DropTable,roll-forward-only
20260612110915_AddTemplate,DropTable,roll-forward-only
20260612120633_AddVisibilityRule,DropTable,roll-forward-only
20260612125621_AddIdempotencyKey,DropTable,roll-forward-only
20260612131951_AddVisibilityRuleTargetParticipant,DropColumn,roll-forward-only
20260612135048_AddAuditLog,DropTable,roll-forward-only
20260612145136_AddSessionEvent,DropTable,roll-forward-only
20260612153418_AddSessionEventVisibilitySubject,DropColumn,roll-forward-only
20260612163642_AddAsset,DropTable,roll-forward-only
20260612175244_AddAssetLink,DropTable,roll-forward-only
20260612192634_AddExportJob,DropTable,roll-forward-only
20260612194912_AddExportManifest,DropTable,roll-forward-only
20260612200958_AddRecap,DropTable,roll-forward-only
20260612205129_AddEntitlementAndPlanDefinitions,DropTable,roll-forward-only
20260612211918_AddSubjectEntitlement,DropTable,roll-forward-only
20260612214827_AddQuotaDefinitionAndUsage,DropTable,roll-forward-only
20260612225606_AddPurchaseTransactionAndEvents,DropTable,roll-forward-only
20260612234658_AddStoreNotificationEvent,DropTable,roll-forward-only
20260613130410_AddWorkspaceStatus,DropColumn,roll-forward-only
20260613210749_AddStoreNotificationEventOccurredAt,DropColumn,roll-forward-only
20260614073804_AddVisibilityRuleSessionScope,DropColumn,roll-forward-only
20260614090711_AddSessionEventSequence,DropColumn;DropTable,roll-forward-only
20260614102027_AddBillingAccountLink,DropTable,roll-forward-only
20260614153742_AddAuditLogTamperEvidence,DropColumn;DropTable,roll-forward-only
20260617010526_AddIdempotencyKeyResultId,DropColumn,roll-forward-only
20260617045517_AddExportArtifactCoordinates,DropColumn,roll-forward-only
20260617072806_AddExportJobAttemptCount,DropColumn,roll-forward-only
20260617081103_AddExportJobLease,DropColumn,roll-forward-only
20260621145141_AddVisibilityRuleLock,DropColumn,roll-forward-only
20260621154858_AddVisibilityRuleScheduledReveal,DropColumn,roll-forward-only
20260621164651_AddPushSubscriptions,DropTable,roll-forward-only
20260621173633_AddPushNotificationDeliveries,DropTable,roll-forward-only
