id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-WS-009,Workspace Creation Founding Membership,Enroll the creating principal as a founding Owner member when a workspace is created,livecore-platform,"CreateWorkspaceAsync in apps/api/Workspaces/WorkspaceEndpoints.cs enrolls the creating principal as a workspace Owner member by calling WorkspaceMember.Create within the SAME unit of work / transaction as the workspace insert, mirroring how apps/api/Organizations/OrganizationRepository.cs (~line 173) atomically adds the founding owner on org create. After POST /api/v1/workspaces returns 201, the creator immediately appears in the membership-scoped WorkspaceRepository.ListPageByMemberAsync, so GET /api/v1/workspaces?organizationSlug=... lists the new workspace and GET /api/v1/workspaces/{id} returns 200 for the creator (today both are empty/404 because no membership row is written). The enrollment is idempotent on the unique (workspace_id, user_id) index so a retried create under an Idempotency-Key does not create a duplicate member. No authorization is loosened: a non-creating principal still sees nothing until invited.","An integration test creates a workspace as the org Owner then, as the SAME principal, lists workspaces (the new one is present) and GETs it by id (200), and reads GET /api/v1/workspaces/{id}/members (the creator is the Owner member); a NEGATIVE test confirms a different principal still gets an empty list and a 404; the full local CI-equivalent is green (dotnet build/test LiveCore.slnx, dotnet format verify, pnpm --recursive build and test, scripts/boundary-scan.ps1).","Fixes the arcanos vertical gap csv/core_gaps_Phase2.csv ARC-GAP-114 (critical). THE single gate: with this fix the whole creator authoring + session surface (sessions, scenes, content, entities, assets, visibility) becomes reachable without the arcanos test bridge. Targets the 0.5.0 release. Flips arcanos ARC-CT-008/054/064 and the ARC-LCT-001 gap-reproduction. Behaviour fix, no published API surface change."
CORE-PSELF-002,Participant Self-Service Lifecycle,Self-provision the caller's participant on first session-self read,livecore-platform,"An authenticated principal that is a member of the workspace owning a session can obtain a Participant for that session without a host pre-creating one. On the first GET /api/v1/sessions/{sessionId}/me (the existing route in apps/api/Realtime/SessionParticipantSelfEndpoints.cs), if no Participant exists for the caller in the session's workspace AND the caller is a member of that workspace (IWorkspaceMemberRepository.IsMemberAsync(org, session.WorkspaceId, userProfileId)), the handler creates one via Participant.Create with the token subject and the Participants-owned IParticipantRepository.AddAsync, idempotent on the unique (workspace_id, user_id) index, then returns the SessionParticipantContext (participantId, displayName, presence). FindByUserAsync/FindByIdInOrganizationAsync therefore resolve a real participant, so the participant-keyed reads (the audience visible feed GET /api/v1/participants/{participantId}/visible-feed, the roster isSelf marker) become reachable for any authenticated participant. Authorization is not loosened: only a member of the session's workspace can self-provision; a tenant member who is not a member of that workspace, and a foreign/unknown caller, both stay a fail-closed 404 (never 403). Update the csv/api_routes.csv notes for GET /api/v1/sessions/{sessionId}/me (it no longer hidden-404s a non-provisioned workspace member; it self-provisions) and regenerate openapi/livecore-v1.json if the response schema changes.","An integration test, as a workspace member who is NOT pre-provisioned, calls GET /api/v1/sessions/{id}/me and receives a 200 SessionParticipantContext with a stable participantId, then reads its own visible feed and appears in the roster with isSelf true; a re-call creates no second participant (idempotent); a NEGATIVE test confirms a non-member / foreign-tenant caller is 404, never 403; full local CI-equivalent green (dotnet build/test, format verify, boundary scan).","Fixes ARC-GAP-116 (high) reported by the arcanos vertical. The whole Player Companion audience surface (feed, whispers, handouts, quest log, roster) is dead end-to-end on a clean Core without this. Pairs with CORE-PSELF-003 (self-join). Targets 0.5.0. Flips arcanos ARC-CT-017/018/019 and the ARC-LCT-003 audience tests. Deepens the existing CORE-PSELF-001 self-id read (which assumed a participant already exists)."
CORE-PSELF-003,Participant Self-Service Lifecycle,Authorize a participant to record its own presence (self join and leave),livecore-platform,"The session presence commands authorize the principal that OWNS a participant to record its own presence, not only host admission. In apps/api/Sessions/SessionParticipantPresenceEndpoints.cs, POST /api/v1/sessions/{sessionId}/participants/{participantId}/join and .../leave succeed when the caller's user_id equals the target participant's user_id (self-service presence), in ADDITION to the existing host-admission authorization; an unrelated caller is still denied, and a participant that does not belong to the session's workspace/tenant stays a fail-closed 404. Self-join and self-leave MUST route through the same JoinAsync/LeaveAsync command service used by host admission, so the catalogued ParticipantJoined/ParticipantLeft session event is appended and delivered to the session audience exactly as today; no new event type is introduced and csv/event_catalog.csv is unchanged. Record the new self-service capability in csv/authorization_matrix.csv (a Record own session presence (join/leave) row, own across all roles) and update csv/api_routes.csv for the two routes to note the participant's own principal is also authorized. Optionally expose a convenience self route POST /api/v1/sessions/{sessionId}/me/join that resolves the caller's own participant; if added, add it to csv/api_routes.csv (module Realtime, roles Participant self) and openapi/livecore-v1.json with the same shape as the participant-keyed join. Combined with CORE-PSELF-002 a single authenticated audience member can both provision itself and join, with no host step.","An integration test, as the authenticated owner of a participant (self-provisioned via CORE-PSELF-002), calls join for ITS OWN participantId and succeeds (today this is 403), then appears present in the roster, then leaves, and the ParticipantJoined/ParticipantLeft event is still emitted to the session audience; a NEGATIVE test confirms a caller joining a participant it does NOT own is denied, a foreign-tenant / non-member caller stays a fail-closed 404 (never 403), and a host admitting a participant still works unchanged; full local CI-equivalent green.","Fixes ARC-GAP-121 (high) reported by the arcanos vertical: today self-join is 403 (host-admission only) so there is no self-service presence path. Targets 0.5.0. Depends on CORE-PSELF-002. Flips arcanos ARC-CT-017 and the player-join journey step."
CORE-INV-003,Cross-Org Invitation Onboarding,Let a non-member invitee discover and accept an invitation and gain org membership,livecore-platform,"A genuinely new or cross-org invitee (no pre-existing OrganizationMember in the inviting org) can discover and accept a workspace invitation. GET /api/v1/me/invitations (apps/api/Workspaces/MeInvitationEndpoints.cs) and POST /api/v1/workspaces/{workspaceId}/invitations/accept authorize on the token org claim AND, for accept, a valid invitation bearer token matched by token-hash - never on a pre-existing OrganizationMember and never on an email match. Because apps/api/Organizations/TenantContextResolver requires a persisted membership and returns NoMembership today, the accept route uses a distinct claim-only resolution path (the present token org claim plus the valid invitation token), not the unchanged resolver. The accept route, inside the SAME transaction that creates the WorkspaceMember, atomically provisions an OrganizationMember for the invitee via the Organizations-owned IOrganizationMemberRepository.AddAsync (never a direct organization_members write), mirroring org-create founding-owner enrollment, so a new invitee onboards in one step. Discovery matches the caller's verified email server-side only (no token hash, no other person's data) and is scoped to the token org claim; a caller with no matching invitation still gets an empty list, never an error (never 403).","An integration test invites a brand-new principal (no org membership) by verified email, then as that invitee lists GET /api/v1/me/invitations (the invitation is present) and accepts it, after which the invitee has both an OrganizationMember and a WorkspaceMember and can read the workspace; a NEGATIVE test confirms a caller with no addressed invitation sees an empty list, an accept for a non-addressed invitation is a fail-closed 404, and a caller whose token is not scoped to the inviting org cannot accept; full local CI-equivalent green.","Fixes ARC-GAP-117 (high) reported by the arcanos vertical: the documented MyPendingWorkspaceInvitationResponse persona is dead for a new invitee. Targets 0.5.0. Continues CORE-INV-002 (the discovery route) by granting membership on accept. Flips arcanos ARC-CT-057/070 and the ARC-LCT-001 invite gap-reproduction."
CORE-ID-007,Identity and Tenant Boundaries,Provision (or clearly document provisioning of) the organization named by a verified OIDC org claim,livecore-platform,"First authenticated access with a verified organization claim resolves to a usable tenant. Preferred: on first GET /api/v1/me (apps/api/IdentityAccess + apps/api/Organizations), if the verified token org claim names an organization that does NOT yet exist, provision the Organization and the caller's founding OrganizationMember (role Owner) by calling the Organizations-owned IOrganizationRepository.AddWithOwnerAsync (the same atomic founding-owner path POST /api/v1/organizations uses, so IdentityAccess never writes the organizations/organization_members tables directly), idempotent on the unique slug index, so org-scoped reads resolve without an out-of-band POST /api/v1/organizations. If an organization with that slug ALREADY exists, provision nothing - the caller resolves through the normal claim-AND-persisted-membership gate and is denied (hidden) if not already a member, so an existing tenant can never be joined or hijacked from a claim. A principal with no claim, or an unverified claim, provisions nothing and gets a non-leaking response. Minimum acceptable: document in docs/05_MODULE_CONTRACTS.md and docs/06_AUTHORIZATION_MATRIX.md that an org named by a claim MUST be explicitly created via POST /api/v1/organizations before any org-scoped route resolves, and surface a clear, non-leaking response when it does not exist. Either way the first-login onboarding path is unambiguous.","If auto-provisioning is implemented: an integration test signs in as a principal whose only tenant context is the verified org claim, calls GET /api/v1/me, and finds the org membership populated (role Owner) with org-scoped reads resolving; idempotent on a second call; a NEGATIVE test confirms a principal with no/!=verified org claim provisions nothing, and a principal whose verified claim names an ALREADY-EXISTING org is NOT auto-enrolled (stays a hidden denial). If documentation-only: the docs gate / link-check stays green and the behaviour matches the documented contract. Full local CI-equivalent green.","Addresses ARC-GAP-115 (medium) reported by the arcanos vertical. LOWER priority for testing: the arcanos harness seed already provisions the org via POST /api/v1/organizations, so this is about a clean first-login rather than unblocking the journey. Targets 0.5.0. Relates to ARC-CT-007."
CORE-ENT-008,Entity Graph and Search Completeness,Add entity-relationship create and list routes,livecore-platform,"The entity-relationship graph becomes authorable and readable, not only deletable. In apps/api/Entities/EntityRelationshipEndpoints.cs add POST /api/v1/workspaces/{workspaceId}/entity-relationships (resolving BOTH endpoint entities through the workspace-scoped repository to enforce same-workspace coupling, then EntityRelationship.Create + IEntityRelationshipRepository.AddAsync, honoring a Duplicate as 409) and read routes GET /api/v1/workspaces/{workspaceId}/entity-relationships and/or a by-entity read (driving the existing dead ListBy* reads). Add the matching client.entities.createRelationship and client.entities.listRelationships SDK methods in packages/sdk-ts with the contract request/response shapes in packages/contracts, the OpenAPI spec (openapi/livecore-v1.json) and csv/api_routes.csv, and an Unreleased CHANGELOG entry (the changelog-completeness gate, CORE-REL-004) for the changed package surface.","An integration test creates two entities then creates a relationship between them (201), lists relationships and finds it, and is rejected with 409 on a duplicate and with a fail-closed error when an endpoint entity is in a different workspace; the packages build/pack and version-lockstep tests stay green with the new SDK methods + contract types; the THIRD-PARTY notice and changelog gates stay green; full local CI-equivalent green.","Fixes ARC-GAP-118 (medium) reported by the arcanos vertical: today only DELETE exists so a relationship can never be created or read. Adds published SDK + contract surface (MINOR). Targets 0.5.0. Flips the arcanos ARC-LCT-004 entity-relationship gap-reproduction (ARC-CT-021 quest log uses it)."
CORE-EXP-003,Async Export Request Lifecycle,Add the export request route so an export job can be created and then read,livecore-platform,"An async export can be REQUESTED, not only read. In apps/api/Exports/ExportEndpoints.cs add the create route(s) the code comments anticipate: POST /api/v1/workspaces/{workspaceId}/exports (Owner/Admin/Host) for ExportScope.Workspace and/or POST /api/v1/me/exports for ExportScope.UserData, each calling ExportJob.Create + IExportJobRepository.AddAsync and returning 201 with the exportId, so the existing worker export producer (CORE-EXP-002) has a queue to drain and GET /api/v1/exports/{exportId} can finally be given a real id. The create route honors an optional Idempotency-Key (CORE-DX-004): the first request returns 201 with the exportId and records the key against it, a retry under the same key returns 200 with the original exportId and creates no second job; add the new route to the CORE-DX-004 covered-routes list in docs/08_API_CONTRACTS.md. Add the client.exports.createExport SDK method in packages/sdk-ts (accepting an optional trailing idempotencyKey option forwarded as the Idempotency-Key header, mirroring the other create methods), the contract shapes in packages/contracts, the OpenAPI spec, csv/api_routes.csv and an Unreleased CHANGELOG entry in each changed package CHANGELOG.md and the root CHANGELOG.md. The export request and worker drain emit NO session event (an export carries no sessionId) and add NO row to csv/event_catalog.csv; they reuse the existing export_jobs table (no schema change). Object-level authorization is unchanged (a non-authorized caller is a fail-closed 404, the same rule as the existing GET).","An integration test requests a workspace export (201 with an exportId), then reads GET /api/v1/exports/{exportId} and (after the worker producer runs, or via the producer invoked in-test) sees the job progress to a manifest; a retry of the create under the same Idempotency-Key returns the original exportId and creates no second job; a NEGATIVE test confirms a non-Owner/Admin/Host caller is a fail-closed 404; the packages build/pack, version-lockstep, notice and changelog gates stay green; full local CI-equivalent green.","Fixes ARC-GAP-119 (medium) reported by the arcanos vertical: today getExport can never be given a real id because no create route mints one. Distinct from CORE-EXP-002 (the producer). Adds published SDK + contract surface (MINOR). Targets 0.5.0. Flips the arcanos ARC-LCT-006 export gap-reproduction (ARC-CT-039)."
CORE-ENT-009,Entity Graph and Search Completeness,Route the implemented entity search service,livecore-platform,"The already-implemented and DI-registered EntitySearchService (apps/api/Entities, EntitySearchCriteria/EntitySearchResult, the visibility-filtered audience + host search paths, CORE-ENT-005) is exposed through an HTTP route so a vertical can perform server-side filtered entity search instead of list-then-filter client-side: add GET /api/v1/workspaces/{workspaceId}/entities/search with name/entityTypeId/sessionId criteria driving EntitySearchService.SearchAsync, plus a client.entities.search SDK method (packages/sdk-ts), the contract shapes (packages/contracts), the OpenAPI spec, csv/api_routes.csv and an Unreleased CHANGELOG entry in each changed package CHANGELOG.md and the root CHANGELOG.md (the changelog-completeness gate, CORE-REL-004). Alternatively, if search is intentionally deferred, REMOVE the dead service + DI registration so the surface and the wired capability agree. The audience search path stays visibility-filtered (no host-only entity leaks to a participant caller).","An integration test (if routed) searches by name and by entityTypeId as a host and gets the matching entities, and as a participant gets only the visibility-filtered subset (NEGATIVE: a participant search never returns an unrevealed entity); the packages build/pack, version-lockstep, notice and changelog gates stay green; full local CI-equivalent green. If removed instead: the DI/service removal leaves the build green and no dead registration remains.","Fixes ARC-GAP-120 (low) reported by the arcanos vertical: the service is implemented but reachable by no route. Lowest priority (plain entities.list + the visible feed cover the adopter today). Targets 0.5.0. Flips the arcanos ARC-LCT-004 entity-search gap-reproduction."
CORE-DX-010,Vertical Consumer Ergonomics,Forward an optional sessionId on the SDK asset download so an audience caller can download a revealed handout,livecore-platform,"The published SDK lets an audience (Participant/Observer) caller obtain a download URL for a handout revealed to them in a session. The asset download endpoint already accepts a sessionId for the audience authorization path, but @livecore/sdk-ts AssetsClient.getDownloadUrl does not send one, so an audience download is permanently 400. Add an OPTIONAL sessionId to client.assets.getDownloadUrl params (packages/sdk-ts) and to the contract request shape (packages/contracts), forwarded as the ?sessionId= query parameter; omitting it preserves the prior host-path behaviour. Update the OpenAPI spec if the parameter is under-documented, and add an Unreleased CHANGELOG entry for the changed sdk-ts/contracts surface (CORE-REL-004 gate). No backend route change is required if the route already honors ?sessionId=.","A unit/contract test asserts getDownloadUrl forwards ?sessionId= when provided and omits it otherwise; an integration test, as a participant a handout was revealed to, obtains a download URL by passing the sessionId (today a 400) and is still refused for a handout NOT revealed to them (NEGATIVE, server-gated); the packages build/pack, version-lockstep, notice and changelog gates stay green; full local CI-equivalent green.","Fixes ARC-GAP-122 (medium), DISCOVERED by the arcanos vertical while running the live asset test (ARC-LCT-005). SDK-only fix (the route already accepts sessionId). Adds published SDK/contract surface (MINOR). Targets 0.5.0. Flips arcanos ARC-CT-045 (participant handout download)."
CORE-WSM-003,Workspace Member Optimistic Concurrency,Expose a per-member optimistic-concurrency token for the member role change,livecore-platform,"A vertical can make a member role change a true before-the-write conditional write. The PATCH /api/v1/workspaces/{workspaceId}/members/{memberId} route already honors If-Match (412 on a stale token) and already returns the per-member weak ETag, so NO backend route change is needed - only the SDK/contract surface to make the token readable, via one of: (1) a single-member read-with-ETag GET /api/v1/workspaces/{workspaceId}/members/{memberId} -> client.workspaces.getMemberWithETag returning SdkResponse<WorkspaceMemberResponse> with .etag (a net-new read route); and/or (2) returning SdkResponse<WorkspaceMemberResponse> (with .etag, via sendWithETag) from client.workspaces.updateMemberRole so its already-emitted ETag is readable. Do NOT add a per-item version field to the roster: the collection keeps its no-per-item-ETag contract (docs/08 CORE-DX-002/003). Update packages/sdk-ts, packages/contracts, the OpenAPI spec (only if option 1 adds a route), csv/api_routes.csv and an Unreleased CHANGELOG entry in each changed package CHANGELOG.md and the root CHANGELOG.md.","An integration test reads a member's ETag (or the role-change response ETag), performs a conditional PATCH with a stale If-Match and gets 412 precondition_failed, then with the fresh token succeeds; the packages build/pack, version-lockstep, notice and changelog gates stay green; full local CI-equivalent green.","Addresses ARC-GAP-110 (medium, candidate) reported by the arcanos vertical: today the role change can catch a raced 409 but not a stale-read 412 because no per-member token is obtainable through the SDK. Polish, not blocking. Targets 0.5.0. Lets arcanos ARC-CT-072 / useUpdateMemberRoleMutation light up its conditional path."
