id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-FND-001,Foundation and Repository Quality,Create repository skeleton with apps and packages,livecore-platform,Repository builds locally; commands documented; no product features implemented yet.,Smoke tests for health/build where applicable,
CORE-FND-002,Foundation and Repository Quality,"Add formatting, linting and test commands",livecore-platform,Repository builds locally; commands documented; no product features implemented yet.,Smoke tests for health/build where applicable,
CORE-FND-003,Foundation and Repository Quality,Add CI pipeline with test and boundary scan placeholders,livecore-platform,Repository builds locally; commands documented; no product features implemented yet.,Smoke tests for health/build where applicable,
CORE-FND-004,Foundation and Repository Quality,Add health endpoints and structured logging baseline,livecore-platform,Repository builds locally; commands documented; no product features implemented yet.,Smoke tests for health/build where applicable,
CORE-FND-005,Foundation and Repository Quality,Add Dockerfile for API and worker baseline,livecore-platform,Repository builds locally; commands documented; no product features implemented yet.,Smoke tests for health/build where applicable,
CORE-ID-001,Identity and Tenant Boundaries,Implement OIDC principal model,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-ID-002,Identity and Tenant Boundaries,Implement user profile reference,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-ID-003,Identity and Tenant Boundaries,Implement organization model,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-ID-004,Identity and Tenant Boundaries,Implement organization membership,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-ID-005,Identity and Tenant Boundaries,Implement tenant context resolver,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-ID-006,Identity and Tenant Boundaries,Add organization isolation tests,livecore-platform,OIDC auth and tenant boundary behave as documented; no custom password auth.,Unit/integration tests plus negative foreign-tenant tests,
CORE-WS-001,Workspaces and Membership,Implement workspace aggregate,livecore-platform,Workspace operations are generic and authorized.,API integration tests and authorization negative tests,
CORE-WS-002,Workspaces and Membership,Implement workspace membership roles,livecore-platform,Workspace operations are generic and authorized.,API integration tests and authorization negative tests,
CORE-WS-003,Workspaces and Membership,Implement workspace create/read/update API,livecore-platform,Workspace operations are generic and authorized.,API integration tests and authorization negative tests,
CORE-WS-004,Workspaces and Membership,Implement workspace member invite placeholder with scoped token model,livecore-platform,Workspace operations are generic and authorized.,API integration tests and authorization negative tests,
CORE-WS-005,Workspaces and Membership,Implement workspace authorization policy tests,livecore-platform,Workspace operations are generic and authorized.,API integration tests and authorization negative tests,
CORE-SES-001,Sessions and Participants,Implement participant model,livecore-platform,Sessions and participants are generic; no Player/Facilitator terms.,Lifecycle tests and authorization tests,
CORE-SES-002,Sessions and Participants,Implement session lifecycle,livecore-platform,Sessions and participants are generic; no Player/Facilitator terms.,Lifecycle tests and authorization tests,
CORE-SES-003,Sessions and Participants,Implement session participant join flow,livecore-platform,Sessions and participants are generic; no Player/Facilitator terms.,Lifecycle tests and authorization tests,
CORE-SES-004,Sessions and Participants,Implement session start/end commands,livecore-platform,Sessions and participants are generic; no Player/Facilitator terms.,Lifecycle tests and authorization tests,
CORE-SES-005,Sessions and Participants,Implement participant-visible feed endpoint skeleton,livecore-platform,Sessions and participants are generic; no Player/Facilitator terms.,Lifecycle tests and authorization tests,
CORE-SCENE-001,Scenes and Content Blocks,Implement scene model and ordering,livecore-platform,Scenes and content blocks support host-prepared and participant-visible projections.,DTO projection tests and validation tests,
CORE-SCENE-002,Scenes and Content Blocks,Implement content block model with revisions,livecore-platform,Scenes and content blocks support host-prepared and participant-visible projections.,DTO projection tests and validation tests,
CORE-SCENE-003,Scenes and Content Blocks,Implement scene content APIs,livecore-platform,Scenes and content blocks support host-prepared and participant-visible projections.,DTO projection tests and validation tests,
CORE-SCENE-004,Scenes and Content Blocks,Implement host vs participant DTO separation,livecore-platform,Scenes and content blocks support host-prepared and participant-visible projections.,DTO projection tests and validation tests,
CORE-SCENE-005,Scenes and Content Blocks,Implement content validation and size limits,livecore-platform,Scenes and content blocks support host-prepared and participant-visible projections.,DTO projection tests and validation tests,
CORE-ENT-001,Entity System and Templates,Implement generic entity type model,livecore-platform,Entities remain generic and template-driven.,Template validation tests and visibility tests,
CORE-ENT-002,Entity System and Templates,Implement entity model,livecore-platform,Entities remain generic and template-driven.,Template validation tests and visibility tests,
CORE-ENT-003,Entity System and Templates,Implement entity relationships,livecore-platform,Entities remain generic and template-driven.,Template validation tests and visibility tests,
CORE-ENT-004,Entity System and Templates,Implement template-loaded entity types,livecore-platform,Entities remain generic and template-driven.,Template validation tests and visibility tests,
CORE-ENT-005,Entity System and Templates,Implement entity search within workspace with visibility filtering,livecore-platform,Entities remain generic and template-driven.,Template validation tests and visibility tests,
CORE-VIS-001,Visibility and Reveal Engine,Implement visibility rule model,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-VIS-002,Visibility and Reveal Engine,Implement CanViewResource policy,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-VIS-003,Visibility and Reveal Engine,Implement preview-as-participant query,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-VIS-004,Visibility and Reveal Engine,Implement reveal command with idempotency,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-VIS-005,Visibility and Reveal Engine,Implement selected-participant reveal,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-VIS-006,Visibility and Reveal Engine,Implement visibility rule audit records,livecore-platform,Visibility is enforced server-side and audited.,"Negative authorization tests, idempotency tests, projection tests",
CORE-RT-001,Realtime Event Stream,Implement SignalR hub authentication,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-RT-002,Realtime Event Stream,Implement server-managed session groups,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-RT-003,Realtime Event Stream,Implement event append and delivery,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-RT-004,Realtime Event Stream,Implement recipient-specific event projection,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-RT-005,Realtime Event Stream,Implement reconnect replay with filtering,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-RT-006,Realtime Event Stream,Implement realtime scale-out abstraction,livecore-platform,Realtime delivery never leaks hidden events.,Realtime integration tests with selected/unselected participants,
CORE-AST-001,Asset Storage and Authorization,Implement asset metadata model,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AST-002,Asset Storage and Authorization,Implement S3-compatible storage adapter interface,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AST-003,Asset Storage and Authorization,Implement upload intent flow,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AST-004,Asset Storage and Authorization,Implement signed download URL flow with authorization,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AST-005,Asset Storage and Authorization,Implement asset linking to content blocks/entities,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AST-006,Asset Storage and Authorization,Implement asset cleanup job,livecore-platform,Assets are private by default and accessed only through authorized signed URLs.,Upload/download auth tests and storage adapter tests,
CORE-AUD-001,"Audit, Export and Recap",Implement append-only audit log,livecore-platform,Audit/export/recap are generic and authorized.,"Audit creation tests, export projection tests",
CORE-AUD-002,"Audit, Export and Recap",Implement export job model,livecore-platform,Audit/export/recap are generic and authorized.,"Audit creation tests, export projection tests",
CORE-AUD-003,"Audit, Export and Recap",Implement workspace export manifest,livecore-platform,Audit/export/recap are generic and authorized.,"Audit creation tests, export projection tests",
CORE-AUD-004,"Audit, Export and Recap",Implement basic recap model,livecore-platform,Audit/export/recap are generic and authorized.,"Audit creation tests, export projection tests",
CORE-AUD-005,"Audit, Export and Recap",Implement audit query permissions,livecore-platform,Audit/export/recap are generic and authorized.,"Audit creation tests, export projection tests",
CORE-SDK-001,SDK and UI Core Packages,Create TypeScript contract package,livecore-platform,Vertical apps can consume stable typed Core packages.,"Type tests, package build tests",
CORE-SDK-002,SDK and UI Core Packages,Create TypeScript SDK package,livecore-platform,Vertical apps can consume stable typed Core packages.,"Type tests, package build tests",
CORE-SDK-003,SDK and UI Core Packages,Create generic design tokens package,livecore-platform,Vertical apps can consume stable typed Core packages.,"Type tests, package build tests",
CORE-SDK-004,SDK and UI Core Packages,Create generic UI core package,livecore-platform,Vertical apps can consume stable typed Core packages.,"Type tests, package build tests",
CORE-SDK-005,SDK and UI Core Packages,Add package versioning and changelog process,livecore-platform,Vertical apps can consume stable typed Core packages.,"Type tests, package build tests",
