action,owner,admin,host,cohost,participant,observer,auditor
View workspace metadata,yes,yes,yes,yes,limited,limited,yes
Manage workspace settings,yes,yes,no,no,no,no,no
View workspace member roster,yes,yes,no,no,no,no,no
Change workspace member role,yes,yes,no,no,no,no,no
Create session,yes,yes,yes,yes,no,no,no
View host-only content,yes,yes,yes,yes,no,no,audit-only
Enumerate workspace assets,yes,yes,yes,yes,no,no,no
List a resource's attachments,yes,yes,yes,yes,no,no,no
Execute reveal,yes,yes,yes,yes,no,no,no
Seal or unseal visibility rule,yes,yes,yes,yes,no,no,no
View own visible feed,no,no,preview,preview,yes,no,no
Resolve own session participant context,own,own,own,own,own,own,own
Discover own pending invitations,own,own,own,own,own,own,own
Manage own push subscriptions,own,own,own,own,own,own,own
View audit log,yes,yes,optional,no,no,no,yes
Erase data subject personal data,yes,yes,no,no,no,no,no
Delete organization,yes,no,no,no,no,no,no
